cell_id,lon,lat,LCZ_Class,Building_Density,LST_Terra,LST_Aqua,NDVI,ERA5_Temp,lst_mean,LST_range,surface_excess,site,surface_excess_pred,amp01
540,39.71881959683747,21.20405368746572,16,0.0004612068513409,49.47754287719727,53.91962432861328,0.0759786367416381,30.408495,51.69858360290527,4.4420814514160085,21.290088602905275,,21.957283767900343,0.8926331172176181
541,39.718863328431134,21.21308839930909,16,0.000265317966157,49.54596328735352,53.91301727294922,0.1475545018911361,30.408495,51.72949028015137,4.367053985595696,21.32099528015137,,22.032950871403568,0.9053560201837634
542,39.71890708311926,21.222123101406748,16,0.0001697944699127,50.21988296508789,53.803314208984375,0.0719203203916549,30.408495,52.01159858703613,3.5834312438964844,21.603103587036134,,20.857151372292197,0.7076534223276328
543,39.71895086090821,21.23115779375531,16,0.000990942170904,50.41524505615234,53.60969161987305,0.0784098207950592,30.408495,52.012468338012695,3.1944465637207102,21.603973338012697,,21.24215163874434,0.7723885688474404
544,39.718994661804345,21.240192476351428,16,0.0014386599342455,50.43446350097656,54.02953720092773,0.1022261455655098,30.408495,52.23200035095215,3.5950736999511648,21.82350535095215,,21.982219828554747,0.8968259442900905
545,39.71903848581401,21.249227149191725,16,0.0012279359025045,50.24521255493164,55.28955841064453,0.1221868693828582,30.441065,52.767385482788086,5.044345855712891,22.326320482788088,,22.339914872589784,0.9569699054836746
546,39.71908233294359,21.25826181227283,16,0.0008882321193586,50.13676452636719,55.68593978881836,0.0934060588479042,30.489058,52.91135215759277,5.549175262451172,22.422294157592773,,22.60223568403815,1.0
547,39.71912620319946,21.26729646559139,16,0.0,50.13371658325195,54.9494743347168,0.0478665865957737,30.489058,52.541595458984375,4.815757751464844,22.052537458984375,,22.25126721352911,0.9420644113893115
548,39.71917009658798,21.276331109144024,16,0.0,49.726444244384766,54.29728698730469,0.0436636060476303,30.489058,52.01186561584473,4.570842742919922,21.522807615844727,,22.842076738399182,1.0
549,39.71921401311554,21.28536574292737,16,0.0012859877009579,48.98500061035156,54.14092254638672,0.0446608290076255,30.489058,51.56296157836914,5.155921936035156,21.07390357836914,,21.485094904660418,0.8132378078882474
550,39.71925795278853,21.29440036693809,16,0.0006543123538338,48.73911666870117,54.10738754272461,0.047765452414751,30.489058,51.42325210571289,5.3682708740234375,20.93419410571289,,21.956100078699126,0.8924340880206235
551,39.71930191561332,21.303434981172792,16,0.000590248024237,49.61643600463867,54.4973258972168,0.0738728120923042,30.489058,52.05688095092773,4.880889892578125,21.567822950927727,,21.86246700703531,0.8766903310899766
552,39.719345901596334,21.312469585628133,16,0.0038173951159242,49.95653533935547,54.33943176269531,0.0862295627593994,30.489058,52.14798355102539,4.382896423339844,21.65892555102539,,21.844317098616386,0.8736385488362982
553,39.71938991074394,21.32150418030075,16,0.000633381190565,49.48877716064453,53.25120544433594,0.0544381290674209,30.489058,51.36999130249024,3.7624282836914062,20.88093330249024,,21.72878955306399,0.8542133867258254
